Timestamp,Gender,Age,Status,Income,Frequency,Enjoyment,Time Spent,Outlet Proximity,Membership,Frequent Purchase,Avg Spend,Quality Rating,Price Range Rating,Sales Importance,Ambiance Rating,WiFi Rating,Service Rating,Meeting/Hangout Likelihood,Promotion Channels,Buying Intention,Calculated Age,Numerical Income
2019-10-01 12:38:43-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Less than RM20,4,3,5,5,4,4,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes,24.5,25000.0
2019-10-01 12:38:54-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,take away,Below 30 minutes,1km - 3km,Yes,Cold drinks;Pastries,Less than RM20,4,3,4,4,4,5,2,Social Media;In Store displays,Yes,24.5,25000.0
2019-10-01 12:38:56-08:00,Male,From 20 to 29,Employed,"Less than RM25,000",Monthly,dine in,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Less than RM20,4,3,4,4,4,4,3,In Store displays;Billboards,Yes,24.5,25000.0
2019-10-01 12:39:08-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,take away,Below 30 minutes,more than 3km,No,Coffee,Less than RM20,2,1,4,3,3,3,3,Through friends and word of mouth,No,24.5,25000.0
2019-10-01 12:39:20-08:00,Male,From 20 to 29,Student,"Less than RM25,000",Monthly,take away,Between 30 minutes to 1 hour,1km - 3km,No,Coffee;Sandwiches,Around RM20 - RM40,3,3,4,2,2,3,3,Starbucks Website/Apps;Social Media,Yes,24.5,25000.0
2019-10-01 12:39:39-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Less than RM20,4,3,5,5,4,5,4,Social Media,Yes,24.5,25000.0
2019-10-01 12:39:42-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Below 30 minutes,within 1km,Yes,Coffee,Around RM20 - RM40,5,5,5,5,3,5,5,Starbucks Website/Apps;Social Media,Yes,24.5,25000.0
2019-10-01 12:40:58-08:00,Male,From 20 to 29,Employed,"RM50,000 - RM100,000",Rarely,dine in,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee;Cold drinks,Less than RM20,4,2,3,3,3,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes,24.5,75000.0
2019-10-01 12:42:27-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,drive-thru,Below 30 minutes,more than 3km,Yes,Cold drinks,More than RM40,5,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes,24.5,25000.0
2019-10-01 12:43:36-08:00,Male,From 20 to 29,Employed,"Less than RM25,000",Monthly,take away,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,4,3,3,4,3,3,4,Social Media;Through friends and word of mouth,Yes,24.5,25000.0
2019-10-01 12:47:00-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,4,1,4,5,3,3,4,Social Media,Yes,24.5,25000.0
2019-10-01 12:48:26-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Less than RM20,3,2,4,4,3,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No,24.5,25000.0
2019-10-01 12:49:25-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Weekly,take away,Below 30 minutes,1km - 3km,Yes,Coffee;Sandwiches,Around RM20 - RM40,4,3,2,4,4,3,4,Social Media,Yes,24.5,25000.0
2019-10-01 12:53:09-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,take away,Below 30 minutes,1km - 3km,Yes,Coffee,Less than RM20,4,3,4,4,4,4,3,Social Media,Yes,24.5,25000.0
2019-10-01 12:53:16-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,take away,Below 30 minutes,within 1km,Yes,Coffee,Less than RM20,5,2,5,5,5,5,2,Social Media;Through friends and word of mouth;In Store displays,No,24.5,25000.0
